#update, fitness, fitness:richness, fitness:mode, fitness:max, fitness:mean, fitness:stddev, fitness:entropy, bits
0, 0, 1, 0, 2.22507e-308, 0, 0, 0, "[N/A]"
10, 49, 4, 47, 49, 47.107, 0.55485, 1.19172, "[N/A]"
20, 54, 2, 53, 54, 53.114, 0.31797, 0.511865, "[N/A]"
30, 59, 3, 58, 59, 58.017, 0.150777, 0.170817, "[N/A]"
40, 63, 3, 62, 63, 62.004, 0.118313, 0.119438, "[N/A]"
50, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
60, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
70, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
80, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
90, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
100, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
110, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
120, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
130, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
140, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
150, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
160, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
170, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
180, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
190, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
200, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
210, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
220, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
230, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
240, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
250, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
260, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
270, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
280, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
290, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
300, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
310, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
320, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
330, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
340, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
350, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
360, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
370, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
380, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
390, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
400, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
410, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
420, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
430, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
440, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
450, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
460, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
470, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
480, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
490, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
500, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
510, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
520, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
530, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
540, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
550, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
560, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
570, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
580, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
590, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
600, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
610, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
620, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
630, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
640, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
650, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
660, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
670, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
680, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
690, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
700, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
710, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
720, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
730, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
740, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
750, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
760, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
770, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
780, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
790, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
800, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
810, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
820, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
830, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
840, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
850, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
860, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
870, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
880, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
890, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
900, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
910, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
920, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
930, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
940, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
950, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
960, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
970, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
980, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
990, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
1000, 64, 1, 64, 64, 64, 0, 0, "[N/A]"
